blockDate,coingen,mixed,shielded,shielding,unshielded,unshielding
2016-10-28,630.0,7.0,9.0,93.0,147.0,150.0
2016-10-29,1238.0,19.0,46.0,413.0,3848.0,1446.0
2016-10-30,1824.0,28.0,46.0,808.0,9701.0,2387.0
2016-10-31,2410.0,50.0,79.0,1232.0,14255.0,3184.0
2016-11-01,2991.0,70.0,89.0,1596.0,18806.0,3827.0
2016-11-02,3563.0,90.0,92.0,1961.0,24501.0,4666.0
2016-11-03,4135.0,105.0,95.0,2292.0,30402.0,5260.0
2016-11-04,4721.0,128.0,108.0,2723.0,36267.0,6136.0
2016-11-05,5300.0,240.0,117.0,3217.0,38683.0,7030.0
2016-11-06,5871.0,306.0,124.0,3625.0,40390.0,8027.0
2016-11-07,6449.0,446.0,124.0,3936.0,42841.0,8855.0
2016-11-08,7020.0,460.0,125.0,4242.0,44951.0,9448.0
2016-11-09,7585.0,477.0,126.0,4535.0,46992.0,9953.0
2016-11-10,8160.0,486.0,127.0,4749.0,48745.0,10412.0
2016-11-11,8745.0,503.0,128.0,4982.0,50404.0,10968.0
2016-11-12,9312.0,539.0,133.0,5258.0,52054.0,11444.0
2016-11-13,9893.0,574.0,135.0,5581.0,53811.0,11915.0
2016-11-14,10471.0,580.0,136.0,5904.0,55720.0,12375.0
2016-11-15,11058.0,632.0,136.0,6244.0,57330.0,12878.0
2016-11-16,11618.0,641.0,137.0,6600.0,58932.0,13336.0
2016-11-17,12208.0,664.0,139.0,6918.0,61392.0,13759.0
2016-11-18,12769.0,693.0,139.0,7255.0,63711.0,14161.0
2016-11-19,13345.0,730.0,141.0,7594.0,65828.0,14592.0
2016-11-20,13916.0,765.0,149.0,7932.0,67642.0,15020.0
2016-11-21,14497.0,795.0,150.0,8288.0,68890.0,15450.0
2016-11-22,15062.0,827.0,151.0,8595.0,70153.0,15861.0
2016-11-23,15645.0,881.0,153.0,8925.0,71517.0,16319.0
2016-11-24,16233.0,894.0,157.0,9259.0,73244.0,16811.0
2016-11-25,16798.0,936.0,160.0,9573.0,74712.0,17309.0
2016-11-26,17367.0,969.0,165.0,9868.0,76128.0,17761.0
2016-11-27,17940.0,1086.0,173.0,10166.0,77741.0,18227.0
2016-11-28,18522.0,1117.0,174.0,10460.0,78944.0,18691.0
2016-11-29,19098.0,1154.0,179.0,10752.0,80415.0,19181.0
2016-11-30,19662.0,1163.0,182.0,11060.0,81506.0,19662.0
2016-12-01,20244.0,1207.0,185.0,11353.0,82681.0,20112.0
2016-12-02,20811.0,1213.0,185.0,11677.0,83950.0,20573.0
2016-12-03,21384.0,1242.0,185.0,11970.0,85531.0,21018.0
2016-12-04,21959.0,1270.0,185.0,12271.0,86504.0,21459.0
2016-12-05,22526.0,1297.0,187.0,12587.0,87902.0,21914.0
2016-12-06,23108.0,1327.0,187.0,12874.0,89229.0,22351.0
2016-12-07,23677.0,1358.0,187.0,13148.0,90418.0,22777.0
2016-12-08,24254.0,1382.0,190.0,13454.0,91443.0,23214.0
2016-12-09,24822.0,1411.0,190.0,13752.0,92381.0,23648.0
2016-12-10,25398.0,1443.0,208.0,14036.0,93255.0,24081.0
2016-12-11,25968.0,1452.0,226.0,14320.0,94209.0,24528.0
2016-12-12,26540.0,1479.0,227.0,14604.0,95091.0,24953.0
2016-12-13,27116.0,1512.0,227.0,14915.0,96077.0,25403.0
2016-12-14,27689.0,1528.0,235.0,15239.0,97082.0,25857.0
2016-12-15,28257.0,1547.0,235.0,15541.0,98085.0,26282.0
2016-12-16,28826.0,1577.0,236.0,15839.0,98898.0,26697.0
2016-12-17,29400.0,1615.0,237.0,16125.0,99738.0,27087.0
2016-12-18,29975.0,1617.0,237.0,16424.0,100472.0,27484.0
2016-12-19,30536.0,1649.0,242.0,16776.0,101321.0,27889.0
2016-12-20,31117.0,1657.0,250.0,17210.0,102298.0,28330.0
2016-12-21,31691.0,1707.0,263.0,17912.0,103172.0,28757.0
2016-12-22,32278.0,1734.0,266.0,18223.0,104322.0,29187.0
2016-12-23,32854.0,1762.0,273.0,18522.0,105699.0,29650.0
2016-12-24,33409.0,1790.0,273.0,18809.0,106684.0,30061.0
2016-12-25,33979.0,1821.0,273.0,19117.0,107509.0,30460.0
2016-12-26,34557.0,1823.0,274.0,19404.0,108338.0,30868.0
2016-12-27,35125.0,1850.0,274.0,19790.0,109218.0,31322.0
2016-12-28,35707.0,1863.0,278.0,20085.0,110761.0,31744.0
2016-12-29,36282.0,1886.0,280.0,20369.0,111778.0,32136.0
2016-12-30,36849.0,1939.0,280.0,20687.0,112704.0,32523.0
2016-12-31,37422.0,1951.0,287.0,20991.0,113539.0,32927.0
2017-01-01,37995.0,1959.0,294.0,21311.0,114342.0,33329.0
2017-01-02,38564.0,1995.0,297.0,21606.0,115461.0,33708.0
2017-01-03,39138.0,2029.0,302.0,21911.0,116479.0,34091.0
2017-01-04,39715.0,2043.0,344.0,22205.0,117578.0,34483.0
2017-01-05,40285.0,2052.0,344.0,22506.0,118770.0,34873.0
