blockDate,Transactions
2016-10-28,1036
2016-10-29,5974
2016-10-30,7784
2016-10-31,6416
2016-11-01,6169
2016-11-02,7494
2016-11-03,7416
2016-11-04,7794
2016-11-05,4504
2016-11-06,3756
2016-11-07,4308
2016-11-08,3595
2016-11-09,3422
2016-11-10,3011
2016-11-11,3051
2016-11-12,3010
2016-11-13,3169
2016-11-14,3277
2016-11-15,3092
2016-11-16,2986
2016-11-17,3816
2016-11-18,3648
2016-11-19,3502
2016-11-20,3194
2016-11-21,2646
2016-11-22,2579
2016-11-23,2791
2016-11-24,3158
2016-11-25,2890
2016-11-26,2770
2016-11-27,3075
2016-11-28,2575
2016-11-29,2871
2016-11-30,2456
2016-12-01,2547
2016-12-02,2627
2016-12-03,2921
2016-12-04,2318
2016-12-05,2765
2016-12-06,2663
2016-12-07,2489
2016-12-08,2372
2016-12-09,2267
2016-12-10,2217
2016-12-11,2282
2016-12-12,2191
2016-12-13,2356
2016-12-14,2380
2016-12-15,2317
2016-12-16,2126
2016-12-17,2129
2016-12-18,2007
2016-12-19,2204
2016-12-20,2449
2016-12-21,2640
2016-12-22,2508
2016-12-23,2750
2016-12-24,2266
2016-12-25,2133
2016-12-26,2105
2016-12-27,2315
2016-12-28,2859
2016-12-29,2293
2016-12-30,2251
2016-12-31,2135
2017-01-01,2113
2017-01-02,2401
2017-01-03,2319
2017-01-04,2418
2017-01-05,2462
2017-01-06,2191
2017-01-07,2161
2017-01-08,2120
2017-01-09,2117
2017-01-10,2098
2017-01-11,2045
2017-01-12,2241
2017-01-13,2150
2017-01-14,1944
2017-01-15,2014
2017-01-16,2155
2017-01-17,2117
2017-01-18,2193
2017-01-19,2175
2017-01-20,2285
2017-01-21,2284
2017-01-22,2119
2017-01-23,2202
2017-01-24,2394
2017-01-25,2346
2017-01-26,2430
2017-01-27,2304
2017-01-28,2216
2017-01-29,2380
2017-01-30,2356
2017-01-31,2372
2017-02-01,2633
2017-02-02,2325
2017-02-03,2269
2017-02-04,2332
2017-02-05,2056
2017-02-06,2340
2017-02-07,3027
2017-02-08,2873
2017-02-09,2405
2017-02-10,2363
2017-02-11,2176
2017-02-12,2090
2017-02-13,2279
2017-02-14,2059
2017-02-15,2193
2017-02-16,2144
